run,arch,n_days,IC,RankIC,ICIR,RMSE,R2,R2_zero,Sharpe,hit_rate,ann_return
20260804_1833_opt_p70_ef_s314,baseline_early_fusion,246,0.1431386630228888,0.13066202090592335,0.3672601232897716,0.03704275148568362,-1.8217074617938738,-1.816876359975773,4.785047632356451,0.5975609756097561,1.2838594973905035
20260804_1830_opt_p70_ef_s7,baseline_early_fusion,246,0.13614340388456245,0.11977351916376307,0.3360457940214527,0.031026794838328507,-0.9796086304748894,-0.9762193029193902,3.911085498120808,0.5934959349593496,1.0591256417214805
20260804_1831_opt_p70_ef_s123,baseline_early_fusion,246,0.12533853525661626,0.11904761904761904,0.30163180370513687,0.026997241777256317,-0.4988021329199497,-0.4962360037916238,4.142553019338513,0.5813008130081301,1.1951164631371758
20260804_1751_opt_p70_ef_r1,baseline_early_fusion,246,0.11793203007529166,0.13501742160278743,0.27826532904858914,0.028486001889288723,-0.6686625076460517,-0.6658055571706256,5.2780257835630495,0.6138211382113821,1.5960130567418207
20260804_1832_opt_p70_ef_s2026,baseline_early_fusion,246,0.10769462828166332,0.10351335656213706,0.271071010491214,0.04132740885099963,-2.5122212324119455,-2.5062078881474443,3.2824602683190705,0.5772357723577236,0.8929255569762552
20260720_0011_opt_p67_rep_s42_a,magnet,246,0.07260129680770606,0.07810685249709641,0.18921102926552413,0.022113379599193867,-0.005577975670205904,-0.0038563054927402973,1.3992182047947783,0.556910569105691,0.3668926869456574
20260608_2354_opt_p2_variance_penalty,?,246,0.07231892678226136,0.08667247386759583,0.19661560861267838,0.02259418590243528,-0.04978147839793512,-0.04798412651877437,3.0464740542943987,0.556910569105691,0.8343249944651977
20260715_1513_opt_p40_wfree_seed123,magnet_weak_free,246,0.06124847173066857,0.06126596980255516,0.15347048477226494,0.022162708964033922,-0.010069360643295555,-0.008340000675728376,2.1419879569921987,0.5650406504065041,0.5874591066456595
20260719_0036_opt_p65_fig1_lr1e3,magnet,246,0.05643407447392442,0.0624274099883856,0.14701604869943088,0.022077832236665533,-0.0023476314304506918,-0.0006314919900090032,1.3794991216587225,0.5691056910569106,0.3892300942083575
20260715_1416_opt_p35_magnet_weak_free,magnet_weak_free,246,0.05590204810881934,0.06968641114982578,0.14814932497412756,0.022652978249605753,-0.05525186065266263,-0.053445142822561076,1.762500661236865,0.532520325203252,0.4589871036189756
20260719_0044_opt_p66_fig1_lr5e4,magnet,246,0.050033064940416296,0.060540069686411145,0.13133364785928567,0.022253903312654616,-0.018398859393844003,-0.016655238324762234,0.9365521546436351,0.524390243902439,0.23969536661397492
20260620_1658_opt_p5_mse_var,?,246,0.04895737381930421,0.04210220673635307,0.12495613197554607,0.022121594867434265,-0.0063252723278954814,-0.004602322688866067,-0.020324294201015773,0.47560975609756095,-0.005969121967011954
20260620_1651_opt_p4_mse_only,?,246,0.0390204132407045,0.06445993031358883,0.0978894623108262,0.022129743963987297,-0.007066823949542833,-0.005342604685140806,2.780961328205524,0.5487804878048781,0.7852004707915833
20260804_1839_opt_p71_lstm_s123,baseline_lstm,246,0.03547659519644381,0.017276422764227656,0.09226982715371566,0.027234087055769265,-0.5252153005881977,-0.5226039489468823,-0.757755565908076,0.524390243902439,-0.21169725930738462
