arm,n,IC_recorded,IC_recorded_sd,IC_reeval,IC_reeval_sd,RankIC_recorded,RankIC_recorded_sd,RankIC_reeval,RankIC_reeval_sd,mean_delta_IC,max_abs_delta_IC
tw50chk_ef,10,0.05183517167068038,0.0048842756992423615,0.051835171987223795,0.004884281857409773,0.0412278862764618,0.00402212790436557,0.04122566099610575,0.004024997133096168,3.1654340953979343e-10,2.263027567422915e-08
tw50_T1F3bnl1,10,0.04390229614855717,0.017381637584447017,0.0474983433533744,0.01795053239284402,0.05148350071736011,0.013211727901395465,0.051319337491094,0.012857186583262119,0.0035960472048172294,0.020503843444870058
tw50_T1F9,10,0.025234409852094013,0.0061886214848782695,0.025945044692787883,0.005853191164155353,0.04038009350081495,0.003907292253702714,0.04074691339950614,0.003999149238373228,0.000710634840693868,0.005254977368816617
tw50traj_wl0,1,0.016134458920929032,,0.024637429815982027,,0.044684019949443196,,0.04659502825520452,,0.008502970895052996,0.008502970895052996
tw50_T1F3rb,10,0.024797537612243598,0.007787367097885257,0.02405243698648113,0.008984341416274865,0.03448278823724611,0.006584753025344382,0.034164924506387924,0.007103148753940996,-0.0007451006257624661,0.011982275884590656
tw50_T1F3bnboth,3,0.022471501588022746,0.012099116874947899,0.022148407068494514,0.013002120743135606,0.051784876552246915,0.005494853354636315,0.051300390074729085,0.00563731734582978,-0.0003230945195282295,0.001339391255497275
tw50_T1F9csdml2,3,0.022986283461020288,0.0058501126294809936,0.022107565228704332,0.006035165071942637,0.03248323719731796,0.00798063921406931,0.0329122868659659,0.008464332412988017,-0.0008787182323159558,0.0011111880580234584
tw50_L1_wl0,10,0.01985521717234854,0.006153761544707056,0.020541237725789495,0.007781682968567344,0.0340669731307157,0.007676002312823919,0.034848046535687446,0.005908753598529781,0.000686020553440961,0.012268461346959358
tw50_T1F9dense,3,0.018515282070426242,0.003517561845657688,0.018709837922008348,0.002638513494053376,0.034469592715134834,0.0019879833592360697,0.03474898902650491,0.0026805175425237216,0.00019455585158210478,0.002420809072180747
tw50_T20F1,3,0.014735096424355212,0.007441058421301718,0.017331241922884526,0.0027479740842742957,0.028927213161687435,0.005228898906712543,0.030732423050521016,0.002748677682978612,0.002596145498529313,0.00840301874990572
tw50_T5F9,3,0.017769190738888385,0.008421381714676985,0.01711200168420208,0.00931262222494838,0.021872163499546158,0.020703184567496303,0.021814514423655642,0.02059856934113256,-0.0006571890546863052,0.0017627529808590418
tw50_T1F4,3,0.015512412407753735,0.008598089110407613,0.01494885442532324,0.008280745670191656,0.03364858138377302,0.0075578902753762455,0.033633225647982774,0.007425125612356373,-0.000563557982430495,0.001219946253330063
tw50_T1F1,3,0.015305665599513544,0.005043134656172522,0.014661382477599903,0.0053026626039229495,0.02891771342683415,0.003608712070065895,0.029749786093299105,0.0028552168019778564,-0.0006442831219136413,0.0012842464818750305
tw50_T1F7,3,0.015118796451454128,0.0009667774958453912,0.014466608812169525,0.0016226750509404043,0.033559049636114606,0.001187132919607721,0.033389485875651076,0.001059076029756144,-0.0006521876392846035,0.0013617362988255222
tw50_T1F9dense0,3,0.01458963733062886,0.0029063226784155714,0.01395441539014807,0.00234284032431756,0.030533579285372685,0.002860850698783986,0.030386788861886217,0.002845908678270365,-0.00063522194048079,0.0011731668149311883
tw50chk_wl0,3,0.012411672671586568,0.0023247637228116236,0.012824208061910225,0.0017267418054411668,0.03245174492561252,0.002424058225791285,0.032552988675144855,0.00240450128319597,0.00041253539032365914,0.001106251072604576
tw50_imedres100,3,0.01237263392841744,0.006218988789388981,0.01213697139593215,0.006627281361478302,0.03183868669418987,0.0007643088069466995,0.031593775721670776,0.00035541596578078796,-0.00023566253248529043,0.0007071250504275253
tw50_bl_man_sf,3,0.011750538255719402,0.008890066732109118,0.011284734525459314,0.00809040026353572,0.006484414904173051,0.00767947600844832,0.007058042729286836,0.008130407824305868,-0.0004658037302600858,0.0013917211957849285
tw50_T1F2,3,0.013452118024588703,0.003948510397300036,0.010978908325866643,0.007029500381525428,0.02698497285092899,0.007402204815412196,0.026427481561730384,0.007890857522974236,-0.00247320969872206,0.006040568302984158
tw50_imedres75,3,0.01061155364709048,0.00883551696619378,0.01058969236188806,0.008819749235860508,0.02344521548456781,0.002280200950210249,0.023445866151338587,0.0023281011741142607,-2.1861285202416706e-05,5.228536551813226e-05
tw50_L1_imed0,3,0.014832935469792396,0.005702032917404145,0.010258873084237225,0.002030923530175219,-0.0038643099516229274,0.0009108629440739212,-0.004429088708654194,0.001603633017002146,-0.0045740623855551705,0.01282579121495353
tw50_imedres5,3,0.009961154246833097,0.0013509855909716823,0.010159330909351586,0.0016216088419843738,0.028986033437765357,0.0037858299418771875,0.029221704942139454,0.004074656048647846,0.00019817666251849045,0.0005120748863209068
tw50_T5F1,3,0.008925226922016102,0.004767849171973813,0.009764966786718834,0.004538835632485483,0.023647052316861702,0.005108329044178863,0.024947084524866863,0.005382927605911119,0.0008397398647027321,0.0012399612038388914
tw50_L1_imed5,3,0.008637635168242728,0.007559927542024603,0.008636515442632569,0.007562798941884393,0.02981303090341828,0.004627356792850863,0.02973924529161258,0.004789788985777851,-1.119725610160097e-06,1.1091604457700438e-05
tw50_imedres25,3,0.008327153968062627,0.007083733954934132,0.008149115314919998,0.009236213556769466,0.026167214853421047,0.006508758251824549,0.025210994967092528,0.008528793432450901,-0.00017803865314262925,0.0026600293500635697
tw50_bl_meig,3,0.0061372652437956254,0.013045147346176497,0.006137229836356926,0.013045124414616815,0.015636693701870995,0.005093202261672038,0.015636693701870995,0.005093202261672038,-3.5407438699180026e-08,6.385474581732664e-08
tw50chk_imed,3,0.004067911343704038,0.00754131840399507,0.003013021177485791,0.004011968063931638,-0.000592887561528677,0.0071505461689662635,-0.004381069500971119,0.008067236611077208,-0.001054890166218247,0.004910896787985012
tw50_L1_ident,1,0.008595993551765543,,0.002897588020440717,,0.014327682292429169,,0.011110395377663257,,-0.005698405531324826,0.005698405531324826
tw50chk_lstm,3,0.0012464562964659381,0.00505806433771605,0.0012464492730670917,0.005058040518227731,0.01387351688642937,0.00563126590155624,0.013871304619408742,0.005628611432192895,-7.023398846447287e-09,4.112241732984884e-08
tw50_bl_hgt,3,0.0009775275559751617,0.01061871278304173,0.0011193068718224543,0.010831816922228388,0.0075377142727009495,0.003301170211146955,0.007521447603431618,0.003597758988733678,0.00014177931584729293,0.0003977994685036429
tw50_bl_adv_alstm,3,-0.0013871073497429421,0.003900264340192098,-0.0013871140156579587,0.0039002567500503378,0.004346584162120131,0.0014322829304824285,0.004347234828890905,0.001433111374982055,-6.665915016365945e-09,1.409977847498245e-08
tw50_bl_delta_lag,3,-0.0010423553999556882,0.009719624036617306,-0.0014445720581433266,0.01048238465898482,-0.009909785052232277,0.0077255601284119966,-0.005642712369500646,0.004255865401196104,-0.0004022166581876384,0.0012852248042014031
tw50_imedwl0,3,0.003194314332726057,0.007541785680740928,-0.0028064608983487823,0.012184009100391038,-0.003634494448185781,0.0030634435021829405,-0.010926907348305174,0.00449764164886852,-0.00600077523107484,0.010904800924039604
tw50_T1F9csdml1,3,-0.002084778011286413,0.005779495557894283,-0.0030213084843514373,0.005309058291372518,-0.001585674920374652,0.00742641834401922,-0.0019218093741561655,0.007254850750783681,-0.000936530473065024,0.0021082114906665794
tw50_bl_hats,3,-0.005253403515592292,0.004690134795891961,-0.0052534282620008395,0.004690133259671334,0.009212530540671551,0.00661303544158049,0.009209016940109376,0.006616504247562457,-2.4746408547507714e-08,3.5084330288204235e-08
tw50_efT1F3,10,-0.007550661849582402,0.0034475125357844626,-0.007550706333663375,0.0034474585594934624,0.0006309255409480887,0.008279699572530273,0.0006309255409480878,0.008282075843788091,-4.448408097166082e-08,1.7457980948983737e-07
tw50_T1F9csdmboth,3,-0.004129215024595251,0.012934708153975738,,,-0.009491796718687473,0.014488474431101713,-0.01032595151881891,0.011458901599297272,,
