ticker,total_rows,ffill_Close,roll_Close,zero_Volume,remain_Close,long_gaps,outlier_price,outlier_ret,ohlc_violations,adf_close_p,adf_logret_p,logret_stationary,logret_std
AMADY,1759,0,0,0,0,0,0,1,1,0.0605,0.0,True,0.021569
ASUUY,1759,0,0,0,0,0,140,22,22,0.9048,0.0,True,0.014529
ASX,1759,0,0,0,0,0,0,0,1,0.9948,0.0,True,0.025013
AUOTY,1759,0,0,0,0,0,0,1,0,0.3342,0.0,True,0.032311
CHT,1759,0,0,0,0,0,0,0,1,0.6896,0.0,True,0.007859
HIMX,1759,0,0,0,0,0,0,2,3,0.2849,0.0,True,0.039431
IMOS,1759,0,0,0,0,0,0,1,4,0.4209,0.0,True,0.023029
PWR,1759,0,0,0,0,0,0,3,2,0.9793,0.0,True,0.022012
SIMO,1759,0,0,0,0,0,0,3,1,0.4253,0.0,True,0.025933
TSM,1759,0,0,0,0,0,0,1,1,0.9946,0.0,True,0.023312
UMC,1759,0,0,0,0,0,0,1,15,0.4403,0.0,True,0.025216
